Edesa/Otros	Cafayate	Capital	Güemes	J V González	La Candelaria	Metán	Orán	S A Cobres	S Aislados	Tartagal	Valle de Lerma	Total	
07/2007	 -   	 -   	 -   	 -   	 0.330 	 -   	 0.544 	 -   	 -   	 -   	 -   	 0.874 			
08/2007	 -   	 -   	 -   	 -   	 0.321 	 -   	 0.662 	 -   	 -   	 -   	 -   	 0.984 			
09/2007	 -   	 -   	 -   	 -   	 0.305 	 -   	 0.518 	 -   	 -   	 -   	 -   	 0.823 			
10/2007	 -   	 -   	 -   	 -   	 0.317 	 -   	 0.353 	 -   	 -   	 -   	 -   	 0.670 			
11/2007	 -   	 -   	 -   	 -   	 0.304 	 -   	 -   	 -   	 -   	 -   	 -   	 0.304 			
12/2007	 -   	 -   	 -   	 -   	 0.340 	 -   	 -   	 -   	 -   	 -   	 -   	 0.340 		
01/2008	 -   	 -   	 -   	 -   	 0.385 	 -   	 -   	 -   	 -   	 -   	 -   	 0.385 		
02/2008	 -   	 -   	 -   	 -   	 0.398 	 -   	 -   	 -   	 -   	 -   	 -   	 0.398 		
03/2008	 -   	 -   	 -   	 -   	 0.403 	 -   	 -   	 -   	 -   	 -   	 -   	 0.403 		
04/2008	 -   	 -   	 -   	 -   	 0.322 	 -   	 -   	 -   	 -   	 -   	 -   	 0.322 		
05/2008	 -   	 -   	 -   	 -   	 0.331 	 -   	 -   	 -   	 -   	 -   	 -   	 0.331 		
06/2008	 -   	 -   	 -   	 -   	 0.360 	 -   	 -   	 -   	 -   	 -   	 -   	 0.360 		
07/2008	 -   	 -   	 -   	 -   	 0.333 	 -   	 -   	 -   	 -   	 -   	 -   	 0.333 		
08/2008	 -   	 -   	 -   	 -   	 0.329 	 -   	 -   	 -   	 -   	 -   	 -   	 0.329 		
09/2008	 -   	 -   	 -   	 -   	 0.322 	 -   	 -   	 -   	 -   	 -   	 -   	 0.322 		
10/2008	 -   	 -   	 -   	 -   	 0.335 	 -   	 -   	 -   	 -   	 -   	 -   	 0.335 		
11/2008	 -   	 -   	 -   	 -   	 0.331 	 -   	 -   	 -   	 -   	 -   	 -   	 0.331 		
12/2008	 -   	 -   	 -   	 -   	 0.353 	 -   	 -   	 -   	 -   	 -   	 -   	 0.353 		
01/2009	 -   	 -   	 -   	 -   	 0.428 	 -   	 -   	 -   	 -   	 -   	 -   	 0.428 		
02/2009	 -   	 -   	 -   	 -   	 0.425 	 -   	 -   	 -   	 -   	 -   	 -   	 0.425 		
03/2009	 -   	 -   	 -   	 -   	 0.488 	 -   	 -   	 -   	 -   	 -   	 -   	 0.488 		
04/2009	 -   	 -   	 -   	 -   	 0.387 	 -   	 -   	 -   	 -   	 -   	 -   	 0.387 		
05/2009	 -   	 -   	 -   	 -   	 0.349 	 -   	 -   	 -   	 -   	 -   	 -   	 0.349 		
06/2009	 -   	 -   	 -   	 -   	 0.376 	 -   	 -   	 -   	 -   	 -   	 -   	 0.376 		
07/2009	 -   	 -   	 -   	 -   	 0.398 	 -   	 -   	 -   	 -   	 -   	 -   	 0.398 		
08/2009	 -   	 -   	 -   	 -   	 0.367 	 -   	 -   	 -   	 -   	 -   	 -   	 0.367 		
09/2009	 -   	 -   	 -   	 -   	 0.340 	 -   	 -   	 -   	 -   	 -   	 -   	 0.340 		
10/2009	 -   	 -   	 -   	 -   	 0.362 	 -   	 -   	 -   	 -   	 -   	 -   	 0.362 		
11/2009	 -   	 -   	 -   	 -   	 0.359 	 -   	 -   	 -   	 -   	 -   	 -   	 0.359 		
12/2009	 -   	 -   	 -   	 -   	 0.395 	 -   	 -   	 -   	 -   	 -   	 -   	 0.395 		
01/2010	 -   	 -   	 -   	 -   	 0.501 	 -   	 -   	 -   	 -   	 -   	 -   	 0.501 		
02/2010	 -   	 -   	 -   	 -   	 0.474 	 -   	 -   	 -   	 -   	 -   	 -   	 0.474 		
03/2010	 -   	 -   	 -   	 -   	 0.505 	 -   	 -   	 -   	 -   	 -   	 -   	 0.505 		
04/2010	 -   	 -   	 -   	 -   	 0.385 	 -   	 -   	 -   	 -   	 -   	 -   	 0.385 		
05/2010	 -   	 -   	 -   	 -   	 0.394 	 -   	 -   	 -   	 -   	 -   	 -   	 0.394 		
06/2010	 -   	 -   	 -   	 -   	 0.413 	 -   	 -   	 -   	 -   	 -   	 -   	 0.413 		
07/2010	 -   	 -   	 -   	 -   	 0.452 	 -   	 -   	 -   	 -   	 -   	 -   	 0.452 		
08/2010	 -   	 -   	 -   	 -   	 0.434 	 -   	 -   	 -   	 -   	 -   	 -   	 0.434 		
09/2010	 -   	 -   	 -   	 -   	 0.375 	 -   	 -   	 -   	 -   	 -   	 -   	 0.375 		
10/2010	 -   	 -   	 -   	 -   	 0.391 	 -   	 -   	 -   	 -   	 -   	 -   	 0.391 		
11/2010	 -   	 -   	 -   	 -   	 0.390 	 -   	 -   	 -   	 -   	 -   	 -   	 0.390 		
12/2010	 -   	 -   	 -   	 -   	 0.427 	 -   	 -   	 -   	 -   	 -   	 -   	 0.427 		
01/2011	 -   	 -   	 -   	 -   	 0.531 	 -   	 -   	 -   	 -   	 -   	 -   	 0.531 		
02/2011	 -   	 -   	 -   	 -   	 0.515 	 -   	 -   	 -   	 -   	 -   	 -   	 0.515 		
